2025-09-17 06:46:17 | INFO     | crawl_data | main:129 | ✅ Crawled 100752: Mặt dây chuyền trẻ em Hawick
2025-09-17 06:46:17 | INFO     | crawl_data | main:129 | ✅ Crawled 105734: Nhẫn Nữ Splendid Touch 10 mm
2025-09-17 06:46:17 | INFO     | crawl_data | main:129 | ✅ Crawled 94841: Nhẫn Nam Attractive Crimp 8mm
2025-09-17 06:46:17 | INFO     | crawl_data | main:129 | ✅ Crawled 107909: Nhẫn cưới Elegant Light 4 mm
2025-09-17 06:46:17 | INFO     | crawl_data | main:129 | ✅ Crawled 107686: Nhẫn Nữ Brilliant Love 8 mm
2025-09-17 06:46:17 | INFO     | crawl_data | main:129 | ✅ Crawled 97774: Mặt Dây Chuyền GLAMIRA Thesis
2025-09-17 06:46:17 | INFO     | crawl_data | main:129 | ✅ Crawled 104620: Mặt dây chuyền nữ Majenta
2025-09-17 06:46:18 | INFO     | crawl_data | main:129 | ✅ Crawled 89467: Nhẫn GLAMIRA Irene
2025-09-17 06:46:18 | INFO     | crawl_data | main:129 | ✅ Crawled 107771: Nhẫn cưới nữ Bright Dream 6 mm
2025-09-17 06:46:18 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85900
2025-09-17 06:46:18 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85713
2025-09-17 06:46:18 | INFO     | crawl_data | main:129 | ✅ Crawled 101712: Bông tai trẻ em Calbria
2025-09-17 06:46:18 | INFO     | crawl_data | main:129 | ✅ Crawled 90979: Nhẫn đính hôn Farrah 0.1crt
2025-09-17 06:46:18 | INFO     | crawl_data | main:129 | ✅ Crawled 100593: Bông tai trẻ em Arequipe
2025-09-17 06:46:18 | INFO     | crawl_data | main:129 | ✅ Crawled 93477: Nhẫn cưới nam Classic Destiny 4mm
2025-09-17 06:46:18 | INFO     | crawl_data | main:129 | ✅ Crawled 88640: Nhẫn cưới Mystic Journey Basic
2025-09-17 06:46:18 | INFO     | crawl_data | main:129 | ✅ Crawled 106312: Nhẫn cưới nữ Golden Sign 6 mm
2025-09-17 06:46:19 | INFO     | crawl_data | main:129 | ✅ Crawled 107684: Nhẫn cưới nữ Brilliant Love 5 mm
2025-09-17 06:46:19 | INFO     | crawl_data | main:129 | ✅ Crawled 108781: Magic Shield 7 mm
