2025-09-17 06:50:47 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 87318
2025-09-17 06:50:52 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 99129
2025-09-17 06:50:52 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85099
2025-09-17 06:50:55 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 98070
2025-09-17 06:50:55 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 86756
2025-09-17 06:50:58 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102597
2025-09-17 06:51:04 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85876
2025-09-17 06:51:05 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 80429
2025-09-17 06:51:06 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88946
2025-09-17 06:51:06 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85981
2025-09-17 06:51:14 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110305
2025-09-17 06:51:15 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88947
2025-09-17 06:51:59 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85691
2025-09-17 06:52:00 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85094
2025-09-17 06:52:04 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102228
2025-09-17 06:52:04 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 87269
2025-09-17 06:52:09 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88922
2025-09-17 06:52:09 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85719
2025-09-17 06:52:13 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110181
2025-09-17 06:52:16 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88019
2025-09-17 06:52:17 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 93307
2025-09-17 06:52:18 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102184
2025-09-17 06:52:23 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 107197
2025-09-17 06:52:28 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 98223
2025-09-17 06:52:31 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 87249
2025-09-17 06:52:35 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 87465
2025-09-17 06:52:37 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88056
2025-09-17 06:53:17 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 98631
2025-09-17 06:53:17 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 80338
2025-09-17 06:53:23 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85909
2025-09-17 06:53:24 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 108629
2025-09-17 06:53:27 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110332
2025-09-17 06:53:28 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85764
2025-09-17 06:53:28 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102138
2025-09-17 06:53:29 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 108641
2025-09-17 06:53:34 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 106959
2025-09-17 06:53:35 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85158
2025-09-17 06:53:37 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88972
2025-09-17 06:53:37 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 109146
2025-09-17 06:53:37 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 96940
2025-09-17 06:53:40 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 91724
2025-09-17 06:53:42 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 108622
2025-09-17 06:53:46 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 80427
2025-09-17 06:53:53 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85090
2025-09-17 06:53:54 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 87288
2025-09-17 06:53:57 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102833
2025-09-17 06:53:58 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 103464
2025-09-17 06:53:59 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 80266
2025-09-17 06:54:02 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102170
2025-09-17 06:54:06 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 96946
2025-09-17 06:54:06 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85276
2025-09-17 06:54:40 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102136
2025-09-17 06:54:45 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85877
2025-09-17 06:54:47 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 90686
2025-09-17 06:54:48 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 109296
2025-09-17 06:54:54 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 96756
2025-09-17 06:54:57 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 86012
2025-09-17 06:55:03 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 107669
2025-09-17 06:55:07 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88971
2025-09-17 06:55:07 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110286
2025-09-17 06:55:07 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 86775
2025-09-17 06:55:10 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110271
2025-09-17 06:55:12 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 98227
2025-09-17 06:55:12 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102132
2025-09-17 06:55:12 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 90576
2025-09-17 06:55:14 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110176
2025-09-17 06:55:19 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102160
2025-09-17 06:55:19 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88177
2025-09-17 06:55:27 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 90262
2025-09-17 06:55:28 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85195
2025-09-17 06:57:24 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85774
2025-09-17 06:57:26 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85923
2025-09-17 06:57:26 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 96947
2025-09-17 06:57:30 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 103375
2025-09-17 06:57:35 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 108934
2025-09-17 06:57:41 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 97107
2025-09-17 06:57:41 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 80340
2025-09-17 06:57:41 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 91693
2025-09-17 06:57:45 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102140
2025-09-17 06:57:47 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102553
2025-09-17 06:57:50 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110301
2025-09-17 06:57:58 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 91726
2025-09-17 06:58:00 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85977
2025-09-17 06:58:00 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 80353
2025-09-17 06:58:04 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 105534
2025-09-17 06:58:09 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 106964
2025-09-17 06:58:12 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 101918
2025-09-17 06:58:13 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102752
2025-09-17 06:58:13 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102236
2025-09-17 06:58:14 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 106961
2025-09-17 07:02:28 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110307
2025-09-17 07:02:29 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 91734
2025-09-17 07:02:30 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102202
2025-09-17 07:02:30 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 108618
2025-09-17 07:02:32 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102583
2025-09-17 07:02:32 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 91729
2025-09-17 07:02:33 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 109893
2025-09-17 07:02:33 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 105515
2025-09-17 07:02:37 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88888
2025-09-17 07:02:40 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 89220
2025-09-17 07:02:43 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102169
2025-09-17 07:02:43 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 106803
2025-09-17 07:02:46 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 91725
2025-09-17 07:02:49 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 87466
2025-09-17 07:02:49 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 86014
2025-09-17 07:02:51 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110282
2025-09-17 07:02:51 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 109870
2025-09-17 07:02:53 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102204
2025-09-17 07:02:53 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102127
2025-09-17 07:02:55 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85922
2025-09-17 07:02:57 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 106963
2025-09-17 07:03:01 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102617
2025-09-17 07:03:01 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 92151
2025-09-17 07:03:06 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 107707
2025-09-17 07:03:06 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 108624
2025-09-17 07:03:10 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 100400
2025-09-17 07:03:11 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88992
2025-09-17 07:03:12 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 90984
2025-09-17 07:07:23 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102600
2025-09-17 07:07:26 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102144
2025-09-17 07:07:28 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 99058
2025-09-17 07:07:28 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85861
2025-09-17 07:07:29 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 111092
2025-09-17 07:07:29 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 98912
2025-09-17 07:07:29 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102233
2025-09-17 07:07:29 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 87940
2025-09-17 07:07:33 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 87680
